ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-1619,Aluno-1619,5M,5M,15.0,Masculino,2024,Pública,7.501,9.259259259333334,7.51,7.5,4.25,7.205,10.0,Fase 4 (9° ano),1,Cursando,7.393951851866667,Ametista,2024,5.0,0.0,0,Adequada/adiantada (≥ 0)
RA-162,Aluno-162,4,L,14.0,Menina,2021,Escola Pública,6.7,8.5,7.5,,5.5,6.542,10.0,Fase 4 (9º ano),0,,7.215,Ametista,2022,4.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1620,Aluno-1620,5N,5N,16.0,Masculino,2024,Pública,8.751,6.666666666666667,7.51,7.5,5.166666666666667,7.05,5.0,Fase 6 (2° EM),-1,Cursando,6.652766666666667,Ágata,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1621,Aluno-1621,5N,5N,17.0,Feminino,2024,Pública,7.917,10.0,6.26,8.333333333,8.333333333333334,8.446666667,5.0,Fase 6 (2° EM),-1,Cursando,8.107033333366667,Topázio,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1622,Aluno-1622,5N,5N,16.0,Feminino,2024,Pública,8.334,10.0,7.51,8.333333333,9.666666666666666,7.89,5.0,Fase 6 (2° EM),-1,Cursando,8.429066666633334,Topázio,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1623,Aluno-1623,6A,6A,17.0,Masculino,2024,Pública,9.168,8.518518518666667,6.26,7.8125,6.0,7.666,10.0,Fase 6 (2° EM),0,Cursando,7.7609537037333345,Ametista,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1624,Aluno-1624,6A,6A,18.0,Feminino,2024,Concluiu o 3º EM,7.917,9.460317460333334,7.51,7.8125,7.5,7.636,5.0,Fase 7 (3° EM),-1,Cursando,7.743213492066667,Ametista,2024,6.0,0.0,1,Moderada (−1 fase)
RA-1625,Aluno-1625,6A,6A,17.0,Masculino,2024,Pública,7.5,7.112887113,7.51,7.1875,4.333333333333333,6.896,10.0,Fase 6 (2° EM),0,Cursando,6.888194089266667,Ágata,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1626,Aluno-1626,6A,6A,16.0,Feminino,2024,Pública,8.751,9.696969697,7.51,8.28125,7.333333333333333,8.404,10.0,Fase 6 (2° EM),0,Cursando,8.541085606066668,Topázio,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1627,Aluno-1627,6A,6A,17.0,Feminino,2024,Pública,7.083,7.777777777666667,7.51,7.65625,7.833333333333333,8.172,5.0,Fase 7 (3° EM),-1,Cursando,7.481547222200001,Ametista,2024,6.0,0.0,1,Moderada (−1 fase)
